WP,Name,Project Activity,Research Question,Lead,Q1,Q2,Q3,Q4,Q5,Q6,...12,Import Sheet:,https://docs.google.com/spreadsheets/d/16kp07lznZkFkLRb24M7zXG0vL5r4hSt27JalfAdPvdE/edit#gid=0
WP1,Identification of ORD tools and workflows to for publication of FAIR qualitative research data (open ended semi-stuctured interviews),Activity 1.1: Development of questionnaire (process & file format),RQ 1.1:,Lead person initials,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP1,Identification of ORD tools and workflows to for publication of FAIR qualitative research data (open ended semi-stuctured interviews),Activity 1.2: Collection of data (file format),RQ 1.2:,Lead person initials,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP1,Identification of ORD tools and workflows to for publication of FAIR qualitative research data (open ended semi-stuctured interviews),Activity 1.3: Transformation of DOCX / plain text (markdown) files to machine-readible table format,RQ 1.3:,Lead person initials,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP2,Study of current data practices of qualitative research community and barriers/opportunities for ORD practices,Activity 2.1:,RQ 2.1:,Lead person initials,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP2,Study of current data practices of qualitative research community and barriers/opportunities for ORD practices,Activity 2.2:,RQ 2.2:,Lead person initials,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP2,Study of current data practices of qualitative research community and barriers/opportunities for ORD practices,Activity 2.3:,RQ 2.3:,Lead person initials,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP3,Development of guidelines for open qualitative research data,Activity 3.1:,RQ 3.1:,Lead person initials,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP3,Development of guidelines for open qualitative research data,Activity 3.2:,RQ 3.2:,Lead person initials,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP3,Development of guidelines for open qualitative research data,Activity 3.3:,RQ 3.3:,Lead person initials,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP4,Workshop for sharing guidelies for open qualitative research data,Activity 4.1:,RQ 4.1:,Lead person initials,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP4,Workshop for sharing guidelies for open qualitative research data,Activity 4.2:,RQ 4.2:,Lead person initials,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP4,Workshop for sharing guidelies for open qualitative research data,Activity 4.3:,RQ 4.3:,Lead person initials,NA,NA,NA,NA,NA,NA,NA,NA,NA
